title,link
D-Link.DSR-250.DSR-1000.UPnP.Service.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55830
FreeRDP.CVE-2024-32459.Out-of-Bounds.Read,https://www.fortiguard.com/encyclopedia/ips/55928
Freelancy.API.Files.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55781
IO-DATA.WFS-SR03.Pro_stor_canceltrans.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55911
TOTOLINK.Devices.cstecgi.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55925
TOTOLINK.EX1800T.apcliEncrypType.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55902
TOTOLINK.LR350.cstecgi.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55927
Tenda.Devices.fromNatlimit.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55921
Viessmann.Vitogate.300.Hardcoded.Credentials.Access,https://www.fortiguard.com/encyclopedia/ips/55875
WordPress.Business.Directory.class-search.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55926
WordPress.Hotel.Booking.Plugin.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/55803
WordPress.Stop.Spammers.Plugin.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/55809
WWBN.AVideo.SystemRootPath.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55918
Cacti.cmd_realtime.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55907
Lantronix.PremierWave.2050.SslGenerate.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55468
D-Link.DAR-7000.webmailattach.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55869
Oria.Gridx.test_grid_filter.query.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55893
WAYOS.FBM-291W.Upgrade_filter.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55866
Zabbix.Server.Audit.Log.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55901
Rust.Standard.Library.BatBadBut.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55882
TP-Link.WR-886N.check_reg_verify_code.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55838
TP-Link.WR-886N.check_reset_pwd_verify_code.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55842
TP-Link.WR-886N.cloud_device.info.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55846
TP-Link.WR-886N.get_reg_verify_code.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55847
TP-Link.WR-886N.get_reset_pwd_veirfy_code.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55848
TP-Link.WR-886N.modify_account_pwd.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55851
TP-Link.WR-886N.reset_cloud_pwd.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55853
TP-Link.WR-886N.router_post.login.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55849
TP-Link.WR-886N.router_post.register.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55850
TP-Link.WR-886N.upgrade_info.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55856
Tenda.Devices.setSambaCfg.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55857
Ubiquiti.EdgeRouter.X.OSPF.Handler.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55855
CyberPower.PowerPanel.Enterprise.MCUDBHelper.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55861
Ampache.get_info.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55785
Byzoro.Smart.Management.importexport.php.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55829
Byzoro.Smart.userattestation.php.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/55802
Eveo.URVE.Web.Manager.vpro.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55757
Linksys.E1700.NTP.setDateTime.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55799
Linksys.RE7000.AccessControlList.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55828
MS.SharePoint.Server.CVE-2024-30044.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55760
Nagios.IM.Void.Token.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/55787
Positron.TRA7005.Password.Management.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/55834
TOTOLINK.A7100RU.cstecgi.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55806
USVN.Timeline.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55814
WAYOS.FBM-291W.Upgrade_filter.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55798
Nortek.Linear.eMerge.CVE-2019-7268.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/55743
Nortek.Linear.eMerge.saveS2ConfVals.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55745
Optergy.Device.Console.Backdoor.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55748
Axigen.Mail.Server.serverName_input.XSS,https://www.fortiguard.com/encyclopedia/ips/55796
CyberArk.Enterprise.Password.Vault.XXE,https://www.fortiguard.com/encyclopedia/ips/55734
Dell.OpenManage.Server.Administrator.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/55699
Delta.Electronics.DIAEnergie.RecalculateHDMWYC.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55782
Joomla!.CMS.com_users.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55769
WordPress.Membership.For.WooCommerce.Arbitrary.File.Upload,https://www.fortiguard.com/encyclopedia/ips/55788
Zen.Cart.IT-Recht.Kanzlei.rechtstext_language.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55775
Amino.Communications.STB.EntoneWebEngine.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55711
D-Link.DIR-822.HNAP1.ChgSambaUserSettings.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55716
Damstra.Smart.Asset.originator.Parameter.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55720
Delta.Electronics.DIAEnergie.RecalculateScript.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55780
Edgecore.ECS2020.EXCU_SHELL.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55722
FLIR.AX8.Res_php.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55719
NETGEAR.WNR2000v4.SOAP.UserAgent.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55724
Tenda.AX3.SetNetControlList.list.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55701
Western.Digital.My.Cloud.Devices.reg_device.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55714
Xinuos.Openserver.printbook.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55708
ASUS.Devices.blocking.asp.Parameters.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55538
Agentejo.Cockpit.Controller.auth.php.Multiple.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55762
Cisco.Firepower.Mgmt.Center.Configuration.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55759
Compal.CH7465LG.Ping.Traceroute.URL.Settings.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/55686
D-Link.Central.WiFi.Manager.PayAction.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/55700
D-Link.DIR-605L.FormSetACLFilter.CurTime.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55426
D-Link.DIR-605L.FormSetEmail.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55342
D-Link.DIR-605L.formWPS.Webpage.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55432
D-Link.DIR-816L.formSetRoute.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55428
D-Link.DIR-846.SetMasterWLanSettings.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55698
D-Link.DIR-846.SetNetworkTomographySettings.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55694
D-Link.DIR-846.SetWizardConfig.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55697
D-Link.DIR-859.soap.cgi.service.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55690
Gambio.Parcelshopfinder.Search.Insecure.Deserialization,https://www.fortiguard.com/encyclopedia/ips/55766
LBT.T300-T310.ApCliEncrypType.Buffer.Overflow,https://www.fortiguard.com/encyclopedia/ips/55203
Netis.Devices.Netcore_set.Tools_ip_url.Command.Injection,https://www.fortiguard.com/encyclopedia/ips/55189
